mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,200,Fashion ,high,False,-1
DocumentMutator,200,Other ,high,False,-1
DocumentMutator,0,Other ,high,False,-1
DocumentMutator,1,Other ,high,False,-1
DocumentMutator,2,Other ,high,False,-1
DocumentMutator,3,Other ,high,False,-1
DocumentMutator,4,Other ,high,False,-1
DocumentMutator,5,Other ,high,False,-1
DocumentMutator,6,Other ,high,False,-1
DocumentMutator,7,Other ,high,False,-1
DocumentMutator,8,Other ,high,False,-1
DocumentMutator,9,Other ,high,False,-1
DocumentMutator,10,Other ,high,False,-1
DocumentMutator,11,Other ,high,False,-1
DocumentMutator,12,Other ,high,False,-1
DocumentMutator,13,Other ,high,False,-1
DocumentMutator,14,Other ,high,False,-1
DocumentMutator,15,Other ,high,False,-1
DocumentMutator,16,Other ,high,False,-1
DocumentMutator,17,Other ,high,False,-1
DocumentMutator,18,Other ,high,False,-1
DocumentMutator,19,Other ,high,False,-1
DocumentMutator,20,Other ,high,False,-1
DocumentMutator,21,Other ,high,False,-1
DocumentMutator,22,Other ,high,False,-1
DocumentMutator,23,Other ,high,False,-1
DocumentMutator,24,Other ,high,False,-1
DocumentMutator,25,Other ,high,False,-1
DocumentMutator,26,Other ,high,False,-1
DocumentMutator,27,Other ,high,False,-1
DocumentMutator,28,Other ,high,False,-1
DocumentMutator,29,Other ,high,False,-1
DocumentMutator,30,Other ,high,False,-1
DocumentMutator,31,Other ,high,False,-1
DocumentMutator,32,Other ,high,False,-1
DocumentMutator,33,Other ,high,False,-1
DocumentMutator,34,Other ,high,False,-1
DocumentMutator,35,Other ,high,False,-1
DocumentMutator,36,Other ,high,False,-1
DocumentMutator,37,Other ,high,False,-1
DocumentMutator,38,Other ,high,False,-1
DocumentMutator,39,Other ,high,False,-1
DocumentMutator,40,Other ,high,False,-1
DocumentMutator,41,Other ,high,False,-1
DocumentMutator,42,Other ,high,False,-1
DocumentMutator,43,Other ,high,False,-1
DocumentMutator,44,Other ,high,False,-1
DocumentMutator,45,Other ,high,False,-1
DocumentMutator,46,Other ,high,False,-1
DocumentMutator,47,Other ,high,False,-1
DocumentMutator,48,Other ,high,False,-1
DocumentMutator,49,Other ,high,False,-1
