mutator,id,step_num,domain,entropy,watermark_detected,watermark_score
Document1StepMutator,2549952481,11,Other ,high,1,1.5666989036012806
Document1StepMutator,2549952481,19,Other ,high,0,0.1740776559556978
Document1StepMutator,2549952481,39,Other ,high,0,0.8703882797784892
Document1StepMutator,2549952481,59,Other ,high,0,0.1740776559556978
Document1StepMutator,2549952481,76,Other ,high,0,0.1740776559556978
Document1StepMutator,2046128425,-1,"Other

### Task",high,1,5.461092327709238
Document1StepMutator,2046128425,0,"Other

### Task",high,1,0.8703882797784892
Document1StepMutator,2046128425,1,"Other

### Task",high,1,0.9801960588196068
Document1StepMutator,2046128425,2,"Other

### Task",high,0,-0.1400280084028009
Document1StepMutator,2046128425,3,"Other

### Task",high,1,0.1490711984999859
Document1StepMutator,2046128425,19,"Other

### Task",high,0,-0.4472135954999579
Document1StepMutator,2046128425,39,"Other

### Task",high,0,-0.5773502691896258
Document1StepMutator,2046128425,99,"Other

### Task",high,0,0.0
Document1StepMutator,2046128425,119,"Other

### Task",high,0,-0.4472135954999579
Document1StepMutator,2046128425,139,"Other

### Task",high,0,0.7453559924999299
Document1StepMutator,2046128425,159,"Other

### Task",high,0,0.1490711984999859
Document1StepMutator,2046128425,179,"Other

### Task",high,0,0.1490711984999859
Document1StepMutator,2046128425,199,"Other

### Task",high,0,-0.4472135954999579
Document1StepMutator,2046128425,200,"Other

### Task",high,0,0.1490711984999859
Document1StepMutator,2498284128,-1,Family ,low,1,5.430582663966679
Document1StepMutator,2498284128,0,Family ,low,1,0.1490711984999859
Document1StepMutator,2498284128,9,Family ,low,0,-0.629940788348712
Document1StepMutator,2498284128,19,Family ,low,0,-0.629940788348712
Document1StepMutator,2498284128,23,Family ,low,1,1.889822365046136
Document1StepMutator,2498284128,26,Family ,low,1,0.8819171036881969
Document1StepMutator,2498284128,39,Family ,low,0,0.8819171036881969
Document1StepMutator,2498284128,55,Family ,low,1,1.3858697343671664
Document1StepMutator,2498284128,59,Family ,low,0,1.3858697343671664
Document1StepMutator,2498284128,79,Family ,low,0,1.3858697343671664
Document1StepMutator,2498284128,99,Family ,low,0,0.0
Document1StepMutator,2498284128,119,Family ,low,0,0.6622661785325219
Document1StepMutator,2498284128,139,Family ,low,0,1.192079121358539
Document1StepMutator,2498284128,159,Family ,low,0,0.6622661785325219
Document1StepMutator,2498284128,179,Family ,low,0,0.6622661785325219
Document1StepMutator,2498284128,199,Family ,low,0,0.4200840252084029
Document1StepMutator,2498284128,200,Family ,low,0,0.4200840252084029
Document1StepMutator,3166375684,-1,Health ,mid,1,5.333333333333333
Document1StepMutator,3166375684,0,Health ,mid,1,0.4200840252084029
Document1StepMutator,3166375684,1,Health ,mid,1,0.4803844614152613
Document1StepMutator,3166375684,2,Health ,mid,1,1.12089707663561
Document1StepMutator,3166375684,5,Health ,mid,1,1.7614096918559583
Document1StepMutator,3166375684,7,Health ,mid,0,-0.1601281538050871
Document1StepMutator,3166375684,19,Health ,mid,0,1.12089707663561
Document1StepMutator,3166375684,39,Health ,mid,0,-0.1601281538050871
Document1StepMutator,3166375684,59,Health ,mid,0,0.4803844614152613
Document1StepMutator,3166375684,79,Health ,mid,0,0.4803844614152613
Document1StepMutator,3166375684,99,Health ,mid,0,0.6666666666666666
Document1StepMutator,3166375684,119,Health ,mid,0,1.12089707663561
Document1StepMutator,3166375684,139,Health ,mid,0,1.7614096918559583
Document1StepMutator,3166375684,159,Health ,mid,0,-0.8006407690254357
Document1StepMutator,3166375684,179,Health ,mid,0,-0.8006407690254357
Document1StepMutator,3166375684,199,Health ,mid,0,0.4803844614152613
Document1StepMutator,3166375684,200,Health ,mid,0,0.4803844614152613
Document1StepMutator,3037141110,-1,Physics ,high,1,5.048252022715237
Document1StepMutator,3037141110,0,Physics ,high,1,1.7614096918559583
Document1StepMutator,3037141110,5,Physics ,high,1,1.3333333333333333
Document1StepMutator,3037141110,7,Physics ,high,1,0.8703882797784892
Document1StepMutator,3037141110,13,Physics ,high,1,0.8703882797784892
Document1StepMutator,3037141110,19,Physics ,high,1,0.1740776559556978
Document1StepMutator,3037141110,39,Physics ,high,0,0.1740776559556978
Document1StepMutator,3037141110,59,Physics ,high,0,1.095445115010332
Document1StepMutator,3037141110,79,Physics ,high,0,1.095445115010332
Document1StepMutator,3037141110,99,Physics ,high,0,1.095445115010332
Document1StepMutator,3037141110,119,Physics ,high,0,0.3651483716701107
Document1StepMutator,3037141110,139,Physics ,high,0,0.3651483716701107
Document1StepMutator,3037141110,159,Physics ,high,0,1.095445115010332
Document1StepMutator,3037141110,179,Physics ,high,0,1.5666989036012806
Document1StepMutator,3037141110,199,Physics ,high,0,0.3651483716701107
Document1StepMutator,3037141110,200,Physics ,high,0,1.095445115010332
Document1StepMutator,3241509106,-1,Other ,high,1,5.048252022715237
Document1StepMutator,3241509106,0,Other ,high,1,0.3651483716701107
Document1StepMutator,3241509106,1,Other ,high,1,2.309401076758504
Document1StepMutator,3241509106,2,Other ,high,0,-0.3651483716701107
Document1StepMutator,3241509106,3,Other ,high,0,-0.3651483716701107
Document1StepMutator,3241509106,4,Other ,high,1,2.4494897427831783
Document1StepMutator,3241509106,19,Other ,high,0,0.6666666666666666
Document1StepMutator,3241509106,39,Other ,high,0,-0.5222329678670935
Document1StepMutator,3241509106,59,Other ,high,0,-0.5222329678670935
Document1StepMutator,626039013,-1,Art ,high,1,5.048252022715237
Document1StepMutator,626039013,1,Art ,high,1,0.0
Document1StepMutator,626039013,2,Art ,high,0,-0.6666666666666666
Document1StepMutator,626039013,3,Art ,high,0,-0.3086066999241838
Document1StepMutator,626039013,4,Art ,high,0,-0.9258200997725514
